"Date","Price","Open","High","Low","Vol.","Change %"
"12-09-2013","4,350.94","4,350.94","4,350.94","4,350.94","","-0.73%"
"11-09-2013","4,382.84","4,382.84","4,382.84","4,382.84","","1.25%"
"10-09-2013","4,328.70","4,328.70","4,328.70","4,328.70","","2.62%"
"06-09-2013","4,218.13","4,218.13","4,218.13","4,218.13","","0.82%"
"05-09-2013","4,183.69","4,183.69","4,183.69","4,183.69","","1.87%"
"04-09-2013","4,107.02","4,107.02","4,107.02","4,107.02","","1.60%"
"03-09-2013","4,042.48","4,042.48","4,042.48","4,042.48","","-1.37%"
"02-09-2013","4,098.64","4,098.64","4,098.64","4,098.64","","1.98%"
"30-08-2013","4,019.00","4,019.00","4,019.00","4,019.00","","0.84%"
"29-08-2013","3,985.61","3,985.61","3,985.61","3,985.61","","2.29%"
"28-08-2013","3,896.54","3,896.54","3,896.54","3,896.54","","-1.31%"
"27-08-2013","3,948.07","3,948.07","3,948.07","3,948.07","","-2.71%"
"26-08-2013","4,057.90","4,057.90","4,057.90","4,057.90","","0.99%"
"23-08-2013","4,018.22","4,018.22","4,018.22","4,018.22","","1.52%"
"22-08-2013","3,957.94","3,957.94","3,957.94","3,957.94","","0.31%"
"21-08-2013","3,945.73","3,945.73","3,945.73","3,945.73","","-1.42%"
"20-08-2013","4,002.63","4,002.63","4,002.63","4,002.63","","-1.39%"
"19-08-2013","4,059.06","4,059.06","4,059.06","4,059.06","","-2.25%"
"16-08-2013","4,152.32","4,152.32","4,152.32","4,152.32","","-3.20%"
"14-08-2013","4,289.62","4,289.62","4,289.62","4,289.62","","1.38%"
"13-08-2013","4,231.17","4,231.17","4,231.17","4,231.17","","2.05%"
"12-08-2013","4,146.33","4,146.33","4,146.33","4,146.33","","2.39%"
"08-08-2013","4,049.47","4,049.47","4,049.47","4,049.47","","0.82%"
"07-08-2013","4,016.42","4,016.42","4,016.42","4,016.42","","-0.19%"
"06-08-2013","4,024.25","4,024.25","4,024.25","4,024.25","","-2.58%"
"05-08-2013","4,130.98","4,130.98","4,130.98","4,130.98","","-0.29%"
"02-08-2013","4,143.15","4,143.15","4,143.15","4,143.15","","-0.93%"
"01-08-2013","4,182.08","4,182.08","4,182.08","4,182.08","","-0.46%"
"31-07-2013","4,201.54","4,201.54","4,201.54","4,201.54","","-0.23%"
"30-07-2013","4,211.21","4,211.21","4,211.21","4,211.21","","-1.62%"
"29-07-2013","4,280.44","4,280.44","4,280.44","4,280.44","","-1.62%"
"26-07-2013","4,351.06","4,351.06","4,351.06","4,351.06","","-1.05%"
"25-07-2013","4,397.18","4,397.18","4,397.18","4,397.18","","-0.75%"
"24-07-2013","4,430.44","4,430.44","4,430.44","4,430.44","","-1.27%"
"23-07-2013","4,487.34","4,487.34","4,487.34","4,487.34","","-0.07%"
"22-07-2013","4,490.32","4,490.32","4,490.32","4,490.32","","-0.10%"
"19-07-2013","4,494.81","4,494.81","4,494.81","4,494.81","","-0.61%"
"18-07-2013","4,522.56","4,522.56","4,522.56","4,522.56","","0.77%"
"17-07-2013","4,487.91","4,487.91","4,487.91","4,487.91","","-0.60%"
"16-07-2013","4,514.96","4,514.96","4,514.96","4,514.96","","-1.13%"
"15-07-2013","4,566.72","4,566.72","4,566.72","4,566.72","","1.21%"
"12-07-2013","4,512.33","4,512.33","4,512.33","4,512.33","","0.37%"
"11-07-2013","4,495.68","4,495.68","4,495.68","4,495.68","","0.41%"
"10-07-2013","4,477.45","4,477.45","4,477.45","4,477.45","","-0.32%"
"09-07-2013","4,491.75","4,491.75","4,491.75","4,491.75","","0.61%"
"08-07-2013","4,464.40","4,464.40","4,464.40","4,464.40","","0.31%"
