"Date","Price","Open","High","Low","Vol.","Change %"
"04-11-2020","7,901.75","7,852.45","7,946.45","7,827.25","103.93M","0.67%"
"03-11-2020","7,848.85","7,789.55","7,885.85","7,756.15","129.63M","1.51%"
"02-11-2020","7,732.25","7,821.80","7,840.10","7,686.85","98.75M","-0.34%"
"30-10-2020","7,758.40","7,848.75","7,895.45","7,707.90","132.53M","-1.13%"
"29-10-2020","7,846.75","7,843.75","7,894.75","7,790.85","126.30M","-0.96%"
"28-10-2020","7,922.75","7,979.15","8,069.25","7,884.40","249.36M","-0.10%"
"27-10-2020","7,930.65","7,868.10","7,963.85","7,765.75","153.62M","1.24%"
"26-10-2020","7,833.65","8,111.90","8,135.35","7,801.30","170.10M","-3.22%"
"23-10-2020","8,094.60","7,917.45","8,119.10","7,883.75","201.67M","2.93%"
"22-10-2020","7,864.15","7,857.00","7,888.60","7,810.90","137.00M","-0.18%"
"21-10-2020","7,878.05","7,955.25","7,991.95","7,784.35","97.16M","-0.24%"
"20-10-2020","7,896.70","7,858.30","7,946.50","7,824.75","73.10M","0.33%"
"19-10-2020","7,870.35","8,025.25","8,027.00","7,844.60","83.59M","-1.12%"
"16-10-2020","7,959.45","7,955.65","8,036.50","7,932.55","136.09M","0.30%"
"15-10-2020","7,935.35","8,043.05","8,120.25","7,909.00","162.40M","-1.19%"
"14-10-2020","8,031.05","8,043.35","8,065.90","7,968.40","103.44M","-0.27%"
"13-10-2020","8,052.85","8,099.30","8,135.20","8,038.25","93.04M","-0.61%"
"12-10-2020","8,102.50","8,208.90","8,211.85","8,068.25","104.35M","-0.75%"
"09-10-2020","8,163.50","8,191.50","8,260.40","8,132.10","91.73M","-0.25%"
"08-10-2020","8,183.70","8,209.80","8,236.55","8,125.65","109.62M","0.17%"
"07-10-2020","8,170.05","8,076.85","8,184.15","8,039.90","130.84M","1.39%"
"06-10-2020","8,058.10","8,026.10","8,098.55","7,991.35","237.91M","1.26%"
"05-10-2020","7,957.95","8,055.75","8,061.65","7,878.30","121.08M","-0.10%"
"01-10-2020","7,966.10","7,985.35","8,089.05","7,953.90","108.76M","0.73%"
"30-09-2020","7,908.10","7,935.10","7,974.90","7,887.85","106.58M","-0.22%"
"29-09-2020","7,925.20","7,950.90","8,024.00","7,861.10","157.97M","0.29%"
"28-09-2020","7,902.55","7,750.30","7,918.20","7,734.15","172.02M","3.04%"
"25-09-2020","7,669.50","7,505.50","7,686.40","7,477.50","205.11M","3.38%"
