"Date","Price","Open","High","Low","Vol.","Change %"
"25-11-2020","5,334.45","5,446.95","5,459.20","5,319.35","1.09B","-1.41%"
"24-11-2020","5,410.55","5,399.00","5,417.70","5,381.55","935.49M","0.84%"
"23-11-2020","5,365.55","5,334.50","5,373.15","5,314.60","995.88M","1.40%"
"20-11-2020","5,291.45","5,277.55","5,324.85","5,230.75","1.01B","0.87%"
"19-11-2020","5,245.80","5,250.60","5,377.45","5,223.25","900.59M","-0.57%"
"18-11-2020","5,275.95","5,177.15","5,282.55","5,171.30","756.69M","1.69%"
"17-11-2020","5,188.05","5,144.80","5,193.05","5,134.85","997.97M","1.61%"
"13-11-2020","5,105.70","5,062.15","5,111.20","5,048.30","546.59M","0.72%"
"12-11-2020","5,069.20","5,048.25","5,080.55","5,033.85","542.21M","0.41%"
"11-11-2020","5,048.55","5,034.45","5,073.80","4,994.70","664.17M","0.57%"
"10-11-2020","5,020.05","5,003.80","5,029.65","4,955.85","703.43M","0.82%"
"09-11-2020","4,979.35","4,965.40","4,984.75","4,906.35","519.86M","1.07%"
"06-11-2020","4,926.50","4,891.05","4,950.70","4,881.80","623.24M","0.90%"
"05-11-2020","4,882.45","4,814.95","4,891.20","4,795.10","546.11M","2.29%"
"04-11-2020","4,773.15","4,749.40","4,777.85","4,713.10","400.82M","0.52%"
"03-11-2020","4,748.45","4,742.20","4,767.80","4,736.60","453.92M","0.67%"
"02-11-2020","4,716.90","4,686.25","4,728.80","4,647.25","599.92M","1.09%"
"30-10-2020","4,666.05","4,640.25","4,707.85","4,603.40","833.59M","0.88%"
"29-10-2020","4,625.20","4,613.00","4,638.25","4,579.65","545.49M","-0.51%"
"28-10-2020","4,648.80","4,713.45","4,732.60","4,638.30","500.94M","-1.37%"
"27-10-2020","4,713.15","4,657.35","4,725.00","4,601.85","468.58M","1.35%"
"26-10-2020","4,650.50","4,765.50","4,765.50","4,635.05","442.41M","-2.25%"
"23-10-2020","4,757.40","4,747.10","4,781.10","4,729.60","756.74M","0.68%"
"22-10-2020","4,725.15","4,689.25","4,733.50","4,680.45","523.07M","0.51%"
"21-10-2020","4,701.15","4,707.05","4,749.50","4,637.05","544.09M","0.23%"
"20-10-2020","4,690.50","4,641.45","4,695.55","4,625.85","642.98M","0.72%"
"19-10-2020","4,656.80","4,643.20","4,661.60","4,605.95","602.06M","0.94%"
"16-10-2020","4,613.55","4,578.10","4,618.75","4,540.95","458.65M","1.39%"
"15-10-2020","4,550.10","4,664.45","4,691.65","4,537.20","533.81M","-2.14%"
"14-10-2020","4,649.45","4,637.75","4,659.95","4,599.10","483.46M","0.12%"
"13-10-2020","4,643.80","4,686.95","4,700.65","4,635.90","370.76M","-0.96%"
"12-10-2020","4,688.65","4,738.85","4,760.35","4,664.35","443.70M","-0.90%"
"09-10-2020","4,731.10","4,745.85","4,773.25","4,720.95","512.62M","-0.08%"
"08-10-2020","4,735.05","4,745.80","4,773.20","4,704.80","636.12M","0.38%"
"07-10-2020","4,717.20","4,739.40","4,746.00","4,693.35","547.71M","-0.45%"
"06-10-2020","4,738.65","4,742.50","4,755.60","4,712.85","501.86M","0.65%"
"05-10-2020","4,707.85","4,743.05","4,762.05","4,692.35","698.18M","-0.30%"
"01-10-2020","4,722.15","4,701.45","4,737.25","4,699.60","624.44M","1.19%"
