"Date","Price","Open","High","Low","Change %"
"27-11-2018","7.368","7.368","7.368","7.368","-0.26%"
"26-11-2018","7.387","7.387","7.387","7.387","0.49%"
"22-11-2018","7.351","7.351","7.351","7.351","-0.96%"
"20-11-2018","7.422","7.492","7.492","7.418","0.35%"
"19-11-2018","7.396","7.396","7.396","7.396","-0.38%"
"16-11-2018","7.424","7.424","7.424","7.424","0.30%"
"15-11-2018","7.402","7.425","7.425","7.402","0.61%"
"14-11-2018","7.357","7.357","7.357","7.357","-1.66%"
"13-11-2018","7.481","7.481","7.481","7.481","0.36%"
"12-11-2018","7.454","7.454","7.454","7.454","0.30%"
"09-11-2018","7.432","7.432","7.432","7.432","-0.27%"
"06-11-2018","7.452","7.452","7.452","7.452","-1.22%"
"05-11-2018","7.544","7.544","7.544","7.544","1.40%"
"02-11-2018","7.440","7.655","7.655","7.440","-2.09%"
"01-11-2018","7.599","7.642","7.642","7.549","0.09%"
"31-10-2018","7.592","7.799","7.799","7.585","-0.47%"
"30-10-2018","7.628","7.578","7.628","7.578","1.05%"
"29-10-2018","7.549","7.613","7.613","7.549","-0.47%"
"26-10-2018","7.585","7.599","7.599","7.585","-0.38%"
"25-10-2018","7.614","7.614","7.614","7.614","0.00%"
"24-10-2018","7.614","7.635","7.635","7.600","0.18%"
"23-10-2018","7.600","7.656","7.656","7.600","-0.64%"
"22-10-2018","7.649","7.720","7.720","7.649","-0.09%"
"19-10-2018","7.656","7.762","7.762","7.656","-0.46%"
"17-10-2018","7.691","7.755","7.755","7.691","0.46%"
"16-10-2018","7.656","7.642","7.677","7.642","-0.27%"
"15-10-2018","7.677","7.726","7.795","7.677","-0.18%"
"12-10-2018","7.691","7.795","7.795","7.677","0.46%"
"11-10-2018","7.656","7.864","7.864","7.656","-0.89%"
"10-10-2018","7.725","7.864","7.864","7.718","-1.42%"
"09-10-2018","7.836","7.933","7.933","7.794","1.44%"
"08-10-2018","7.725","7.808","7.808","7.725","-0.97%"
"05-10-2018","7.801","8.209","8.209","7.801","-2.48%"
"04-10-2018","7.999","8.344","8.344","7.972","0.87%"
"03-10-2018","7.930","7.964","7.964","7.889","1.32%"
"01-10-2018","7.827","7.861","7.930","7.793","-0.51%"
"28-09-2018","7.867","7.915","7.915","7.867","-0.08%"
"27-09-2018","7.873","7.996","7.996","7.873","-0.25%"
"26-09-2018","7.893","7.941","7.954","7.893","-0.85%"
"25-09-2018","7.961","8.015","8.015","7.954","-0.41%"
"24-09-2018","7.994","8.028","8.028","7.987","0.86%"
"21-09-2018","7.926","7.960","8.129","7.926","-0.41%"
"19-09-2018","7.959","8.026","8.073","7.945","-0.82%"
"18-09-2018","8.025","7.924","8.395","7.924","0.43%"
"17-09-2018","7.991","8.058","8.058","7.957","-0.16%"
"14-09-2018","8.004","8.031","8.051","8.004","-0.06%"
"12-09-2018","8.009","8.022","8.122","8.009","0.26%"
"11-09-2018","7.988","8.055","8.055","7.968","0.00%"
"10-09-2018","7.988","7.905","8.054","7.905","1.43%"
"07-09-2018","7.875","7.889","7.922","7.856","0.68%"
"06-09-2018","7.822","7.907","7.907","7.822","0.00%"
"05-09-2018","7.822","7.855","7.986","7.822","0.00%"
"04-09-2018","7.822","7.953","7.953","7.822","1.52%"
"03-09-2018","7.705","7.724","7.789","7.705","-0.70%"
"31-08-2018","7.759","7.768","7.817","7.744","0.49%"
"30-08-2018","7.721","7.721","7.818","7.707","0.38%"
